bid_no,project_no,country_ko,project_name,source_file,extension,bytes,indexed,text_chunks,evidence_count,candidate_types,exclusion_reason
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),L2022-00034-1/2. 영양교육센터 설립사업 입찰관련 서류/Chapter 6-2. Specifications/(220628) ├╓┴╛(┐╧) _ Chapter 6-2. Specifications/2.Specifications -ELEC.pdf,.pdf,602931,True,77,1,시방서,
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),L2022-00034-1/2. 영양교육센터 설립사업 입찰관련 서류/Chapter 6-2. Specifications/(220628) ├╓┴╛(┐╧) _ Chapter 6-2. Specifications/3.SPECIFICATION PLUMBING.pdf,.pdf,654310,True,66,2,시방서,
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),L2022-00034-1/2. 영양교육센터 설립사업 입찰관련 서류/Chapter 6-2. Specifications/(220628) ├╓┴╛(┐╧) _ Chapter 6-2. Specifications/4.SPECIFICATIONS HVAC.pdf,.pdf,224883,True,16,0,시방서,
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),L2022-00034-1/2. 영양교육센터 설립사업 입찰관련 서류/Chapter 6-2. Specifications/(220628) ├╓┴╛(┐╧) _ Chapter 6-2. Specifications/5.SPECIFICATIONS-VRF SYSTEM.pdf,.pdf,522642,True,0,0,시방서,
L2022-00034-1,2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업('20-'24/700만불),L2022-00034-1/2. 영양교육센터 설립사업 입찰관련 서류/Chapter 6-2. Specifications/(220628) ├╓┴╛(┐╧) _ Chapter 6-2. Specifications/6.SPECIFICATION FIRE FIGHTING.pdf,.pdf,817679,True,66,2,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/00-Especificaciones técnicas GENERALES/FULL GENERAL PROVISONS SPECIFICATIONS _CPSIA DD100%.pdf,.pdf,206820,True,9,0,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/01-Especificaciones técnicas ARQUITECTONICAS/ANEXO/20220329-Code analysis.pdf,.pdf,173607,True,3,3,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/01-Especificaciones técnicas ARQUITECTONICAS/Full ARCHITECTURAL specifications_CPSIA DD100%.pdf,.pdf,1290430,True,80,3,도면 | 시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/02-Especificaciones técnicas de OBRAS CIVILES/ANEXOS/000_TOPÓGRAFO/2021_08_03_CURVAS DE NIVEL.pdf,.pdf,165871,True,1,0,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/02-Especificaciones técnicas de OBRAS CIVILES/ANEXOS/001-GEOTECNICAL/IG_266_21 Geothecnical Report_Project_Estancia_CPSIA ENGLISH.pdf,.pdf,1360036,True,20,0,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/02-Especificaciones técnicas de OBRAS CIVILES/FULL CIVIL SPECIFICATIONS _CPSIA DD100%.pdf,.pdf,541597,True,45,1,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/03-Especificaciones técnicas SANITARIAS/Full Sanitary specifications_CPSIA DD100%.pdf,.pdf,452360,True,45,3,시방서,
L2022-00040-1,2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차 사업('18-'24/470만불),L2022-00040-1/(붙임3) 설계 및 규정참고자료(영문)/Attachment (Design Documents) 2. FULL SPECIFICATIONS/04-Especificaciones técnicas ELECTRICAS/Full Electric specifications_CPSIA DD100%.pdf,.pdf,407450,True,13,2,시방서,
