rate_type,item_code,description,specification,unit,material_rate_usd,labor_rate_usd,expense_rate_usd,total_rate_usd,source_price_candidates,source_pages,source_note,material_formula,labor_formula,expense_formula,total_formula,source_sheet,source_row,source_file,source_sha256
직접자원단가,4383224E927F2F04D20B225F28E106694294D,철강설,"철강설, 스텐레스, 작업설부산물",kg,0.29408279641561136,0.0,0.0,0.29408279641561136,1.2626823668814338 | 1.3441457453899135 | 0.29408279641561136,1472 | 1198,수집상차도,"=SMALL(E12:M12,COUNTIF(E12:M12,0)+1)",=AQ12/$AD$3*$AE$3*$AD$4,,=O12+P12+V12,단가대비표,12,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,4383224E927F2F04D20B225F28E1066942A52,철강설,"철강설, 동판, 작업설부산물",kg,4.399022439457899,0.0,0.0,4.399022439457899,4.399022439457899 | 9.042435014441235 | 10.42731244908539,1472 | 1198,수집상차도,"=SMALL(E13:M13,COUNTIF(E13:M13,0)+1)",=AQ13/$AD$3*$AE$3*$AD$4,,=O13+P13+V13,단가대비표,13,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,438326442A7A1BDBB26ADA2F4CEBFD791E5DA,경유,"경유, 저유황",L,1.0956824409390507,0.0,0.0,1.0956824409390507,1.0956824409390507 | 1.6092683107457606 | 1.3685847589424573,조달:23-02-28 | 1451 | 1189,,"=SMALL(E14:M14,COUNTIF(E14:M14,0)+1)",=AQ14/$AD$3*$AE$3*$AD$4,,=O14+P14+V14,단가대비표,14,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,438326442A7A1BDBB26AE44FD807DE4CA9334,공업용휘발유,"공업용휘발유, 무연",L,1.1673702140265128,0.0,0.0,1.1673702140265128,1.3145175146263797 | 1.1673702140265128,1451 | 1189,,"=SMALL(E15:M15,COUNTIF(E15:M15,0)+1)",=AQ15/$AD$3*$AE$3*$AD$4,,=O15+P15+V15,단가대비표,15,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE7340A532FB6B275834A7BED62EA,ㄱ형강,"ㄱ형강, 등변, 25*25*3mm",kg,0.8146337850847961,0.0,0.0,0.8146337850847961,0.8472191364881879 | 0.8146337850847961 | 0.9205361771458196,55 | 21,,"=SMALL(E16:M16,COUNTIF(E16:M16,0)+1)",=AQ16/$AD$3*$AE$3*$AD$4,,=O16+P16+V16,단가대비표,16,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE7340A532FB6B275834A7BED62ED,ㄱ형강,"ㄱ형강, 등변, 30*30*3mm",kg,0.8146337850847961,0.0,0.0,0.8146337850847961,0.8472191364881879 | 0.8146337850847961 | 0.9205361771458196,55 | 21,,"=SMALL(E17:M17,COUNTIF(E17:M17,0)+1)",=AQ17/$AD$3*$AE$3*$AD$4,,=O17+P17+V17,단가대비표,17,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE7340A532FB6B275834A7BED62EC,ㄱ형강,"ㄱ형강, 등변, 40*40*3mm",kg,0.8146337850847961,0.0,0.0,0.8146337850847961,0.8472191364881879 | 0.8146337850847961 | 0.9205361771458196,55 | 21,,"=SMALL(E18:M18,COUNTIF(E18:M18,0)+1)",=AQ18/$AD$3*$AE$3*$AD$4,,=O18+P18+V18,단가대비표,18,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE7340A532FB6B275834A7BED62E1,ㄱ형강,"ㄱ형강, 등변, 50*50*4mm",kg,0.8146337850847961,0.0,0.0,0.8146337850847961,0.8472191364881879 | 0.8146337850847961 | 0.9205361771458196,55 | 21,,"=SMALL(E19:M19,COUNTIF(E19:M19,0)+1)",=AQ19/$AD$3*$AE$3*$AD$4,,=O19+P19+V19,단가대비표,19,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE7340A532FB6B275834A7AC3881A,ㄱ Shape Steel,"ㄱ, 50*50*4mm",kg,0.8146337850847961,0.0,0.0,0.8146337850847961,0.8146337850847961,55,,"=SMALL(E20:M20,COUNTIF(E20:M20,0)+1)",=AQ20/$AD$3*$AE$3*$AD$4,,=O20+P20+V20,단가대비표,20,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
직접자원단가,43AE2142BE7340A532FB6B275834A7AC3881B,ㄱ Shape Steel,"ㄱ, 90*90*10mm",kg,0.8146337850847961,0.0,0.0,0.8146337850847961,0.8146337850847961,55,,"=SMALL(E21:M21,COUNTIF(E21:M21,0)+1)",=AQ21/$AD$3*$AE$3*$AD$4,,=O21+P21+V21,단가대비표,21,data/unpacked/L2025-00085-1/붙임2. 현지입찰(신규입찰) 서류 및 계약서류(안)/IKHCC Section 4 - IKHCC BLANK BOQ 250903_최종/1 Architectural & summery/BILL No1 -Architectural Works-01. HOSPITAL(BLANK BILL).xlsx,47d79c95e2c3273f84778935276c94526e369cc1b1bc057f6b03c998f44e253f
