source_record_id,source_row_number,public_data_id,source_page_url,project_no_source,project_no_linked,project_link_method,project_link_score,existing_db_project_match,existing_db_project_bid_nos,bid_no_source,bid_base_no_source,department,country_ko,is_uganda,procurement_title,sector,procurement_category,scope,ceiling_krw,amount_boundary,contract_method,selection_method,planned_issue_date,construction_related,construction_reason,construction_keywords,area_values_m2,gross_floor_area_m2,gfa_extraction_method,raw_ceiling_per_gfa_krw,unit_cost_potential
15085055:292,292,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.314,0,,,,동남아시아1팀,베트남,0,"베트남 전쟁피해 집중지역 취약계층 및 청년층 취업 연계형 직업교육훈련 지원사업(23·29/1,200만불) PMC 용역",교육,용역,"· 사업 세부 계획 수립 및 수행· 기자재 조달 계획(PC 사 선정 등) 지원, 공과 재료(소모품) 조달 · 사업범위 총괄수행 및 보고· 교육과정 / 교재 개발 및 학사 일정 운영· 현지 교사 역량 강화 프로그램 운영· 취약계층 대상 지원 계획 마련· 기량 검증 체계 마련 및 방법 제시· 해외 취업 시 필요한 비자 제도 운영· 취업 연계지원 / 취업자 추적조사 및 데이터 관리· 산학연관 협의체 구성 및 운영· 사업 진행 보고 및 위험관리· 초청연수· 사업 성과관리(기초선, 중간평가, 종료선) 및 지속가능성 확보· 사업 홍보 및 확산 계획 수립",8195958406,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-08,0,,,,,,,0
15085055:293,293,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.351,0,,,,동남아시아1팀,베트남,0,"베트남 메콩유역 롱안성 생활폐기물 분리배출 및 자원순환 촉진 사업('24·'28/1,083만불) 기자재 공급 용역",환경및기타,용역,"분리배출 도구, 폐기물 수거장비, 수거차량 등 기자재 공급",1624095000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-06,0,,,,,,,0
15085055:294,294,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2022-00079,existing_db_title_containment,0.990,1,L2023-00071-1;L2024-00053-1;L2025-00002-1,,,인도네시아사무소,인도네시아,0,인도네시아 사이버보안 전문인력양성 역량강화사업('22·'27/740만불) 사이버보안 훈련센터 신축공사 시공사 선정,교육,공사,인도네시아 사이버보안 훈련센터 신축 시공사 선정 입찰,2667930000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,적격심사,2025-01,1,입찰구분=공사+시설어;강한건축어;시설어+공사어,신축;공사;시공;센터,,,,,0
15085055:295,295,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.512,0,,,,중동팀,요르단,0,"요르단 취약계층 대상 녹색기술 직업훈련 역량강화사업(25·29/1,000만불) PMC 용역",교육,용역,"· 사업·성과관리, 컨설팅, 역량강화, 설계·시공·기자재 조달 관리",5070871987,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-09,0,,시공;설계,,,,,0
15085055:296,296,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.456,0,,,,유라시아팀,키르기스스탄,0,"키르기스스탄 2개 시스템 사업(그린모빌리티, 정보화 역량 강화) 통합 감리 용역",기타,용역,"감리 대상사업 2건에 대한 통합 감리   1. 키르기스스탄 그린모빌리티 실현을 위한 공공기관 전기차 전환사업 · 우체국 전기차 모니터링시스템 개발 및 구축, 모니터링시스템 기자재 납품  2. 키르기스스탄 디지털 전환을 위한 국가 정보화 역량 강화 사업 · LMS 시스템 개발 및 구축",323453463,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-08,0,,감리,,,,,0
15085055:297,297,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2022-00092,official_report_title_containment,0.990,0,,,,중동팀,이라크,0,이라크 변압기 정비소 현대화 및 기술인력 역량강화 사업 (22·26/500만불) PMC 용역,산업에너지,용역,"기자재 보급 및 개선 지원, 기자재 감리, 역량강화, 사업 관리",1302397138,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-01,0,,감리,,,,,0
15085055:298,298,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.238,0,,,,분쟁취약지원팀,해당없음,0,2025·2027 인도적지원 민관협력사업 위탁 운영관리 용역,기타,용역,"인도적지원 민관협력사업 공모지원, 운영 및 성과관리 지원, NGO 실무자 대상 역량강화, 국내외 이해관계자 대상 사업 인지도 제고 등",1000000000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-02,0,,,,,,,0
15085055:299,299,15085055,https://www.data.go.kr/data/15085055/fileData.do,,,,0.500,0,,,,유라시아팀,키르기스스탄,0,"키르기스스탄 대기질 개선사업(25·28/1,000만불) PMC 용역",환경및기타,용역,"대기질 개선 마스터플랜 수립, 대기질 모니터링 시스템 구축, 대기질 모니터링 기자재 입찰 지원, 사업 성과관리 등",1,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술평가),2025-10,0,,,,,,,0
15085055:300,300,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2016-00215,official_report_title_containment,0.990,1,L2019-00015-1;L2019-00015-2;L2019-00016-1,,,중동팀,요르단,0,"요르단 자르카 기술고등학교 설립사업(17·22/1,038만불) 사후지원 기자재 공급업체 선정",교육,물품,· 가솔린 엔진 시뮬레이터· 디젤 엔진 시뮬레이터 · 자동차 고장진단기 · 자동차 배기가스 배출관 베로우즈 튜브(알루미늄  클램프 포함) · 공장용 진공청소기 · 기자재 중 유상수리 품목,61789000,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-12,0,,공장;학교,,,,,0
15085055:301,301,15085055,https://www.data.go.kr/data/15085055/fileData.do,,2016-00215,official_report_title_containment,0.990,1,L2019-00015-1;L2019-00015-2;L2019-00016-1,,,중동팀,요르단,0,"요르단 자르카 기술고등학교 설립사업(17·22/1,038만불) 사후지원 PMC 용역",교육,용역,"자동차공과, 전기공과, 기계/용접공과  기자재 활용 역량강화(교육용 시뮬레이터 활용교육)",350969803,발주계획 입찰한도액; 계획 변경 가능,일반경쟁,협상에 의한 계약(기술가격종합평가),2025-05,0,,학교,,,,,0
