audit_no,dataset_id,project_no,bid_no,bid_base_no,package_id,notice_date,country_ko,stored_country_ko,title,stored_contract_type,scope_role,facility_type,work_type,notice_ceiling_usd,notice_ceiling_krw_raw,notice_ceiling_usd_raw,selected_area_m2,area_semantics,area_aggregation,area_confidence,area_source_file,area_source_locator,area_quote,area_candidates,selected_construction_cost_usd,amount_stage,amount_scope,tax_basis,contingency_note,amount_source_file,amount_source_locator,amount_quote,amount_confidence,record_cost_semantics,record_scope_status,same_scope_status,screening_unit_usd_m2,notice_ceiling_to_selected_gap_pct,realized_price_available,final_grade,compact_grade,verification_level,grade_detail,manual_note,legacy_reviewed_case,legacy_evidence_grade,legacy_cost_stage,legacy_grade_not_inherited,strict_attachment_review,unit_cost_allowed_use,direct_future_estimate_ready,sample_weight_notice,source_url,grade_system_version,audit_date,indexed_attachment_count,spreadsheet_count,boq_named_file_count,quantity_table_file_count,priced_table_file_count,scan_error_file_count,is_bid_base_representative,is_project_display_representative
90,2021-2025,2021-00042,L2023-00028-1,L2023-00028,2021-00042::L2023-00028,2023-06-27,우간다,우간다,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,용역,DESIGN_OR_SUPERVISION_SERVICE,농업시설,미분류,274330.0,,"$ 274,330",3772.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,"L2023-00028-1/1. 입찰계획안(국, 영문)/1-1. Bidding Guideline_KOR_230622.docx",문단 29,"연면적 : 3,772㎡ (± 5% 범위 내에서 조정 가능 )",3772:GFA;3772:GFA;330:AMBIGUOUS_AREA;165:AMBIGUOUS_AREA;40000:SITE_AREA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00028&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,12,0,0,0,0,0,1,0
91,2021-2025,2020-00046,L2023-00032-1,L2023-00032,2020-00046::L2023-00032,2023-06-30,모잠비크,모잠비크,모잠비크 도로안전 시범개선사업 시공업체 선정 입찰,공사,NONBUILDING_OR_FALSE_AREA,기타·미분류,미분류,2060000.0,,"$ 2,060,000",,AMBIGUOUS_OR_WORK_ITEM,NOT_APPLICABLE,MANUAL_REJECTED,L2023-00032-1/2. 입찰서류(영문)/Section 6 - Technical Specifications.pdf,페이지 25,도로안전 공사 시방서의 책상·캐비닛 표면적을 GFA로 오인,1.5:WORK_ITEM_AREA,,SERVICE_OR_GOODS_CEILING,NONBUILDING_OR_FALSE_AREA,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,WORKS_CEILING,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,물품·비건축 또는 GFA 오탐으로 건축공사비 표본 제외,도로안전 공사 시방서의 책상·캐비닛 표면적을 GFA로 오인,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00032&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,16,1,1,1,0,0,1,1
92,2021-2025,2019-00015,L2023-00035-1,L2023-00035,2019-00015::L2023-00035,2023-07-07,키르기즈,키르기즈,(긴급) 키르기스스탄 OPSC 개보수 공사 시공업체 선정 현지 입찰,공사,WORKS,농업시설,리모델링·개보수,388511.0,,"$ 388,511",1739.82,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2023-00035-1/DOC/OPSC_eng/ENG_Section 2 - Bid Data Sheet (BDS)_Kyrgyzstan_OPSC_22 JUNE_CM reviewed.docx,표 3 행 8,"대상 연면적 1,739.82㎡; 상세페이지 집행한도 USD 388,511; 산출단가 USD 223/㎡.",1739.82:GFA;2084.5:BUILDING_OR_CONSTRUCTION_AREA;414.16:BUILDING_OR_CONSTRUCTION_AREA,388511.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,재활·보수 범위,L2023-00035-1/DOC/OPSC_eng/ENG_Section 2 - Bid Data Sheet (BDS)_Kyrgyzstan_OPSC_22 JUNE_CM reviewed.docx,표 3 행 8,"대상 연면적 1,739.82㎡; 상세페이지 집행한도 USD 388,511; 산출단가 USD 223/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,223.30528445471373,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,C,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00035&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,17,0,0,0,0,0,1,1
93,2021-2025,2020-00086,L2023-00036-1,L2023-00036,2020-00086::L2023-00036,2023-07-17,우즈베키스탄,우즈베키스탄,우즈베키스탄 우르겐치 직업훈련원 건립 및 타슈켄트 교사연수센터 건립사업 시공업체선정 현지입찰,공사,WORKS,학교·교육시설,신축,5361576.0,,"$ 5,361,576",6963.0,GFA,SUM_VTC_TTC,MANUAL_CONTEXT_REVIEW,L2023-00036-1,문단 203·204 / 표 1 행 5,"VTC 5,698㎡ + TTC 1,265㎡",5698:GFA;1265:GFA;5698:GFA;1265:GFA,5361576.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,MATCH,MATCH,770.0094786729858,,NO,B,B,V3_ORIGINAL_MANUAL,우르겐치 VTC·TTC 공종별 not-priced BOQ,,0,,,,1,현지단가 결합 수량모델,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00036&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,287,260,275,102,0,0,1,1
94,2021-2025,2020-00086,L2023-00053-1,L2023-00053,2020-00086::L2023-00053,2023-07-17,우즈베키스탄,우즈베키스탄,우즈베키스탄 직업훈련원 및 타슈켄트 교사연수센터 건립 시공업체 선정 현지입찰,공사,WORKS,학교·교육시설,신축,5361576.0,,"$ 5,361,576",6963.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2023-00053-1/Urgench VTC Bid Attachment Documents/Urgench VTC Bid Attachment Documents/Urgench_VTC_Bid Annoncement(The Daily Korean News for Korean Residents).docx,문단 10,"총연면적 6,963.00㎡; 상세페이지 집행한도 USD 5,361,576; 산출단가 USD 770/㎡.",5698:GFA;1265:GFA;5698:GFA;1265:GFA,5361576.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2023-00053-1/Urgench VTC Bid Attachment Documents/Urgench VTC Bid Attachment Documents/Urgench_VTC_Bid Annoncement(The Daily Korean News for Korean Residents).docx,문단 10,"총연면적 6,963.00㎡; 상세페이지 집행한도 USD 5,361,576; 산출단가 USD 770/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,770.0094786729858,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00053&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,287,260,275,102,0,0,1,0
95,2021-2025,2019-00037,L2023-00037-1,L2023-00037,2019-00037::L2023-00037,2023-07-18,엘살바도르,엘살바도르,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 감리 용역 현지 입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,학교·교육시설,신축,200000.0,,"$ 200,000",2983.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00037-1/국문 입찰계획_엘살바도르 국립보건교육센터 감리입찰_v3.hwp,문단 81,"ㅇ 연면적: 2,983 ㎡",2983:GFA;2983:GFA;1142:BUILDING_OR_CONSTRUCTION_AREA;2900:AMBIGUOUS_AREA;2900:AMBIGUOUS_AREA;2900:AMBIGUOUS_AREA;2900:AMBIGUOUS_AREA;2900:AMBIGUOUS_AREA;1316:SITE_AREA;1316:SITE_AREA;2900:QUALIFICATION;2900:QUALIFICATION,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00037&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,20,0,0,0,0,0,1,0
96,2021-2025,2022-00076,L2023-00038-1,L2023-00038,2022-00076::L2023-00038,2023-07-22,피지,피지,피지 국립재활센터 건립사업 설계 및 감리용역 현지입찰계획,용역,DESIGN_OR_SUPERVISION_SERVICE,기타·미분류,리모델링·개보수,450176.0,"\ 580,727,040","$ 450,176 (환율 : 1290)",2700.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2023-00038-1/1. 입찰계획서(피지국립재활센터 건립사업 설계 및 감리 용역)-김우영-230713.hwp,문단 68 및 문단 70,"연면적 약 2,700㎡, 공사비 예산 USD 5,627,206.",2700:GFA;2700:GFA;2686.4:GFA;744.4:GFA;540:GFA;81:GFA;512:AMBIGUOUS_AREA;484:AMBIGUOUS_AREA;185:AMBIGUOUS_AREA;140:AMBIGUOUS_AREA;100:AMBIGUOUS_AREA;40:AMBIGUOUS_AREA,5627206.0,DESIGN_ESTIMATE,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,"면적이 약식값이며 상세 공간계획 합계는 2,686.4㎡.",L2023-00038-1/1. 입찰계획서(피지국립재활센터 건립사업 설계 및 감리 용역)-김우영-230713.hwp,문단 68 및 문단 70,"연면적 약 2,700㎡, 공사비 예산 USD 5,627,206.",MANUAL_CURATED,SERVICE_FEE_OR_MIXED,NO_MATCH,PARTIAL_ATTACHMENT_CONSTRUCTION_BUDGET,2084.15037037037,,NO,C-부분,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,B,설계입찰 단계 공사비 예산,YES,0,초기 스크리닝만,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00038&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,16,0,0,0,0,0,1,0
97,2021-2025,2019-00037,L2023-00058-1,L2023-00058,2019-00037::L2023-00058,2023-08-07,엘살바도르,엘살바도르,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰(재공고),공사,WORKS,학교·교육시설,신축,3875000.0,,"$ 3,875,000",2983.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00058-1/Section 2 - Bid Data Sheet_reannouncement_final.pdf,페이지 4,"g room, dining room and kitchen, mechanical and electrical room (among others) - Site area 1,490㎡ - Building area 2,983㎡ - Gross floor area 2,983㎡ - Building scope Number of levels: 3 - Structure Reinforced concrete ",2983:GFA;2983:BUILDING_OR_CONSTRUCTION_AREA;2983:AMBIGUOUS_AREA;1490:SITE_AREA,3875000.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,MATCH,MATCH,1299.0278243379148,,NO,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,,0,,,,0,초기 스크리닝만,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00058&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,6,0,0,0,0,0,1,0
98,2021-2025,2020-00070,L2023-00040-1,L2023-00040,2020-00070::L2023-00040,2023-08-08,도미니카,도미니카,도미니카공화국 여성 중심 취약계층 사회경제적 역량강화사업 - 몬테크리스티 직업훈련센터 설계용역 입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,학교·교육시설,미분류,73800.0,,"$ 73,800",900.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00040-1/입찰설명서(국문).hwp,문단 122,ㅇ 연면적 : 900㎡ (±5% 이내 조정 가능),900:GFA;2339:SITE_AREA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00040&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,17,0,0,0,0,0,1,0
99,2021-2025,2019-00037,L2023-00057-1,L2023-00057,2019-00037::L2023-00057,2023-09-08,엘살바도르,엘살바도르,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 감리 용역 현지 입찰 (재공고),용역,DESIGN_OR_SUPERVISION_SERVICE,학교·교육시설,신축,200000.0,,"$ 200,000",2983.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00057-1/1. 국문 입찰계획_엘살바도르 국립보건교육센터 감리입찰_v4.hwp,문단 81,"ㅇ 연면적: 2,983 ㎡",2983:GFA;2900:GFA;2900:GFA;1142:BUILDING_OR_CONSTRUCTION_AREA;2983:AMBIGUOUS_AREA;1316:AMBIGUOUS_AREA;1316:SITE_AREA;2900:QUALIFICATION;2900:QUALIFICATION;2900:QUALIFICATION;2900:QUALIFICATION;2900:QUALIFICATION,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00057&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,10,0,0,0,0,0,1,0
100,2021-2025,2022-00038,L2023-00070-1,L2023-00070,2022-00038::L2023-00070,2023-09-14,볼리비아,볼리비아,볼리비아 라파스 주 임상병리검사실 체계 강화사업 현지 설계입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,실험실·연구시설,미분류,175000.0,,"$ 175,000",2500.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00070-1/2. (입찰서류-영문) LDRL-설계입찰/2. (입찰서류-영문) LDRL-설계입찰/2. Bid Data Sheet (BDS)_LDRL_수정.docx,표 7 행 2,"r area of design services for medical facilities and similar facilities of 10 00 ㎡ or more over the last 5 years (Gross floor Area_G.A .) | 2,500㎡ ≤G.A. | 6.0 | ( Aug . 2018 ~ Ju l . 2023)",2500:GFA;1600:GFA;1600:GFA;1000:GFA;1600:GFA;2500:AMBIGUOUS_AREA;2500:AMBIGUOUS_AREA;2500:AMBIGUOUS_AREA;2500:AMBIGUOUS_AREA;2500:AMBIGUOUS_AREA;2000:AMBIGUOUS_AREA;2000:AMBIGUOUS_AREA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00070&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,21,0,0,0,0,0,0,0
101,2021-2025,2019-00037,L2023-00060-1,L2023-00060,2019-00037::L2023-00060,2023-10-09,엘살바도르,엘살바도르,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰,공사,WORKS,학교·교육시설,신축,3875000.0,,"$ 3,875,000",2983.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2023-00060-1/붙임 1. 입찰공고문 및 서류_영문/Section 2 - Bid data sheet_eng.doc,문단 24,"총연면적 2,983.00㎡; 상세페이지 집행한도 USD 3,875,000; 산출단가 USD 1,299/㎡.",2983:GFA;2983:BUILDING_OR_CONSTRUCTION_AREA;2983:AMBIGUOUS_AREA;1490:SITE_AREA,3875000.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2023-00060-1/붙임 1. 입찰공고문 및 서류_영문/Section 2 - Bid data sheet_eng.doc,문단 24,"총연면적 2,983.00㎡; 상세페이지 집행한도 USD 3,875,000; 산출단가 USD 1,299/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,1299.0278243379148,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,A,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00060&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,14,0,0,0,0,0,1,1
102,2021-2025,2022-00036,L2023-00061-1,L2023-00061,2022-00036::L2023-00061,2023-10-17,에티오피아,에티오피아,"에티오피아 가죽 및 가죽제품 강화 사업 신발 라스트 생산 공장 신축 및 보수 공사 설계, 감리 용역",용역,DESIGN_OR_SUPERVISION_SERVICE,기타·미분류,리모델링·개보수,180000.0,,"$ 180,000",1250.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00061-1/붙임 3. 입찰 문서/Section 5 - Space Program reference.pdf,페이지 2,"xisting cafeteria) Description C. Renovation: High-Vibration Leather Drying Facility (existing tannery building) A. New Construction: Total 1,250㎡ / 1 Story /Long Span Structure Floor Area and B. Remodeling: Total 23",1250:GFA;420:GFA;420:GFA;230:GFA;230:GFA;1900:GFA;1250:GFA;42000:AMBIGUOUS_AREA;42000:AMBIGUOUS_AREA;1900:AMBIGUOUS_AREA;1420:AMBIGUOUS_AREA;1285:AMBIGUOUS_AREA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00061&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,25,0,3,0,0,0,1,1
103,2021-2025,2021-00072,L2023-00054-2,L2023-00054,2021-00072::L2023-00054,2023-11-03,필리핀,필리핀,(재공고) 필리핀 국립대학교 로스바뇨스(UPLB) 첨단농업연구센터 신축공사,공사,WORKS,학교·교육시설,신축,5107200.0,,"$ 5,107,200",6682.62,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00054-2/Bidding Announcement_231103.pdf,페이지 1,"Bidding Purpose Agricultural Genomics Research Center and Green House Project Site UPLB Campus, Los Baños, Laguna, Philippines 1. Lot area: 6,682.620㎡ 2. Building area: 2,567.416㎡ 3. Construction floor area: 4,284.375㎡ a",6682.62:GFA;4284.38:GFA;3461.41:GFA;637.133:GFA;185.831:GFA;2567.42:BUILDING_OR_CONSTRUCTION_AREA,5107200.0,NOTICE_EXECUTION_CEILING,PROCUREMENT_CEILING_ASSUMED_WORKS,UNKNOWN,,KOICA 입찰 상세페이지,집행한도금액(달러),,METADATA_PLUS_SCOPE_REVIEW,WORKS_CEILING,MATCH,MATCH,764.2511470052166,,NO,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,,0,,,,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00054&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01,1,0,0,0,0,0,1,1
104,2021-2025,2022-00038,L2023-00070-2,L2023-00070,2022-00038::L2023-00070,2023-11-03,볼리비아,볼리비아,볼리비아 라파스 주 임상병리검사실 체계 강화사업 현지 설계입찰,용역,DESIGN_OR_SUPERVISION_SERVICE,실험실·연구시설,미분류,175000.0,,"$ 175,000",2500.0,GFA,AUTO_SELECTED_SINGLE_OR_TOTAL,AUTO_HIGH,L2023-00070-2/붙임3. (입찰서류-영문) LDRL-설계입찰_1029/2. (└╘┬√╝¡╖∙-┐╡╣«) LDRL-╝│░Φ└╘┬√_1029/2. Bid Data Sheet (BDS)_LDRL_╝÷┴ñ_1029.docx,표 7 행 2,"oor area of design services for medical facilities and similar facilities of 1000 ㎡ or more over the last 5 years (Gross floor Area_G.A.) | 2,500㎡ ≤G.A. | 6.0 | (Aug. 2018 ~ Jul. 2023)",2500:GFA;1600:GFA;1000:GFA;1600:GFA;2500:AMBIGUOUS_AREA;2500:AMBIGUOUS_AREA;2500:AMBIGUOUS_AREA;2000:AMBIGUOUS_AREA;2000:AMBIGUOUS_AREA;2000:AMBIGUOUS_AREA;2000:AMBIGUOUS_AREA;1500:AMBIGUOUS_AREA,,SERVICE_OR_GOODS_CEILING,DESIGN_OR_SUPERVISION_SERVICE,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,SERVICE_FEE_OR_MIXED,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,설계·감리·기타 용역 집행한도는 건축공사비가 아님,,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00070&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01,21,0,0,0,0,0,1,1
105,2021-2025,2021-00054,L2023-00077-1,L2023-00077,2021-00054::L2023-00077,2023-11-14,세네갈,세네갈,세네갈 대국민 소통증진을 위한 국회의정활동시스템 현대화사업 리모델링 업체 선정 입,물품,GOODS,기타·미분류,리모델링·개보수,347000.0,,"$ 347,000",,AMBIGUOUS_OR_WORK_ITEM,NOT_APPLICABLE,MANUAL_REJECTED,L2023-00077-1/붙임5-2. 투찰내역서_1110.xlsx,Bill of quantity!24,BOQ 벽도장·철골 표면적이며 GFA가 아님,456:AMBIGUOUS_AREA;221:AMBIGUOUS_AREA;100:AMBIGUOUS_AREA;82:AMBIGUOUS_AREA;70.4:AMBIGUOUS_AREA;40:AMBIGUOUS_AREA;60:WORK_ITEM_AREA,,SERVICE_OR_GOODS_CEILING,GOODS,NOT_APPLICABLE,,KOICA 입찰 상세페이지,집행한도금액(달러),,SCOPE_REJECTED,GOODS_CEILING,NO_MATCH,NO_MATCH,,,NO,X,X,V3_SCOPE_REVIEW,물품·비건축 또는 GFA 오탐으로 건축공사비 표본 제외,BOQ 벽도장·철골 표면적이며 GFA가 아님,0,,,,0,계산 금지,0,0,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00077&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,8,1,1,0,0,0,1,1
106,2021-2025,2020-00099,L2023-00067-1,L2023-00067,2020-00099::L2023-00067,2023-11-21,키르기즈,키르기즈,키르기스스탄 G-cloud 센터 인테리어 리모델링 시공 입찰,공사,WORKS,정부·행정시설,리모델링·개보수,280621.0,,"$ 280,621",420.0,GFA,SINGLE_OR_TOTAL,MANUAL_CURATED,L2023-00067-1/ENG Version/ENG Version/-ENG_Section 2 Bid Data Sheet.docx,표 3 행 8,"대상 연면적 420.00㎡; 상세페이지 집행한도 USD 280,621; 산출단가 USD 668/㎡.",420:GFA,280621.0,NOTICE_EXECUTION_CEILING,BUILDING_WORKS_OR_CURATED_CONSTRUCTION_BUDGET,SEE_SOURCE,,L2023-00067-1/ENG Version/ENG Version/-ENG_Section 2 Bid Data Sheet.docx,표 3 행 8,"대상 연면적 420.00㎡; 상세페이지 집행한도 USD 280,621; 산출단가 USD 668/㎡.",MANUAL_CURATED,WORKS_CEILING,MATCH,MATCH,668.1452380952381,,NO,C,C,V3_CURATED_AREA_COST_RECHECK,동일/제한 범위 공사금액÷면적 스크리닝 근거,,1,B,공사 입찰 집행한도,YES,0,초기 스크리닝만,0,1,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00067&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01,18,0,0,0,0,0,1,1
